ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
SAVARY;20832;SAVARY;47.47354, -0.5427360000000001;;;;0;;Europe/Paris;1
VANRIE-E;13574;LA VENRIE;47.421438, -0.5704850000000001;;;;0;;Europe/Paris;0
MORELL;10611;MORELLERIE;47.453005, -0.5450920000000001;;;;0;;Europe/Paris;1
MORELL-E;16834;MORELLERIE;47.452732, -0.545147;;;;0;;Europe/Paris;1
GPOMPI-E;10339;POMPIDOU;47.492074, -0.5922300000000001;;;;0;;Europe/Paris;0
CAMPJU-E;996;CAMPING DE JUIGNE;47.537139, -0.6168490000000001;;;;0;;Europe/Paris;0
DIX8JU-E;22297;18 JUIN MONTREUIL;47.529605, -0.6180410000000001;;;;0;;Europe/Paris;0
AAMIPI;32237;AMIPI;47.463699, -0.6266260000000001;;;;0;;Europe/Paris;0
GARVIBRI;30863;GARE VIEUX BRIOLLAY;47.573108, -0.4828010000000001;;;;0;;Europe/Paris;0
GRANCL-E;627562;GRAND CLOS;47.479806, -0.413527;;;;0;;Europe/Paris;0
5ROUT-CV;;CINQ ROUTES;47.484416, -0.6434690000000001;;;;0;;Europe/Paris;0
BMAI-9E;11244;BERGES DE MAINE;47.478509, -0.548904;;;;0;;Europe/Paris;1
MONPL22;7399;MONPLAISIR;47.491047, -0.5276900000000001;;;;0;;Europe/Paris;1
BUISBELL;40296;BUISSONS BELLES;47.448036, -0.420989;;;;0;;Europe/Paris;0
STLOUIS;16220;SAINT LOUIS;47.487528, -0.586621;;;;0;;Europe/Paris;0
LAREUX;31088;LA REUX;47.469546, -0.5105750000000001;;;;0;;Europe/Paris;1
MONNAI-E;228036;MONNAIE;47.445042, -0.5124960000000001;;;;0;;Europe/Paris;0
RUAU-E;343146;LE RUAU;47.424247, -0.398617;;;;0;;Europe/Paris;0
RTEPARIS;17574;ROUTE DE PARIS;47.489597, -0.5081030000000001;;;;0;;Europe/Paris;1
JERUSA-E;30745;JERUSALEM;47.473541, -0.5296990000000001;;;;0;;Europe/Paris;1
RABELAI;819;RABELAIS;47.46175, -0.5468900000000001;;;;0;;Europe/Paris;1
FMITTERA;6467;SAINT SERGE UNIVERSITE;47.476642, -0.5519680000000001;;;;0;;Europe/Paris;1
COSSE;12393;COSSE;47.438224, -0.5532150000000001;;;;0;;Europe/Paris;0
PONTNO-E;4391;PONT NOIR;47.464022, -0.5626190000000001;;;;0;;Europe/Paris;1
2BROY;31784;BOIS DU ROY;47.499664, -0.5830550000000001;;;;0;;Europe/Paris;1
DEGAULLE;30690;DE GAULLE;47.45336, -0.4783160000000001;;;;0;;Europe/Paris;0
CENCON-E;596104;CENTRE DE CONGRES;47.473922, -0.5451190000000001;;;;0;;Europe/Paris;0
HTCHAPEL;969044;HAUTES CHAPELLES;47.475859, -0.380859;;;;0;;Europe/Paris;0
RUELLE-E;27445;RUELLES;47.437339, -0.5315540000000001;;;;0;;Europe/Paris;1
POIREL-E;5240;POIREL;47.461522, -0.5621130000000001;;;;0;;Europe/Paris;1
LECL05-E;18831;LECLERC;47.483002, -0.5757380000000001;;;;0;;Europe/Paris;1
DIONNE-E;9126;DIONNEAU;47.438786, -0.5302470000000001;;;;0;;Europe/Paris;1
BONPLA-E;542285;BONPLAND;47.514547, -0.5908850000000001;;;;0;;Europe/Paris;1
CAMELIAS;11696;CAMELIA;47.471293, -0.5189560000000001;;;;0;;Europe/Paris;1
CRBEAU-E;12387;CROIX DE BEAUVAIS;47.611976, -0.585177;;;;0;;Europe/Paris;0
PELEGLIS;27979;EGLISE DE PELLOUAILLES;47.521613, -0.444059;;;;0;;Europe/Paris;0
LESLANDE;2090;ROBINIERES;47.47034, -0.6972490000000001;;;;0;;Europe/Paris;0
MILLARDI;28787;MILLARDIERE;47.513771, -0.4736820000000001;;;;0;;Europe/Paris;1
DUMESN-E;5561;DUMESNIL;47.473815, -0.566934;;;;0;;Europe/Paris;1
CHARNA-E;5036;CHARNASSERIE;47.491866, -0.5565850000000001;;;;0;;Europe/Paris;1
PYRAM02;23017;PYRAMIDE;47.44088, -0.4886390000000001;;;;0;;Europe/Paris;1
RTECHAMP;31470;ROUTE DE CHAMPIGNE;47.572262, -0.5934600000000001;;;;0;;Europe/Paris;1
CANTCH-E;833087;CHAMP FLEURI CANTENAY;47.537297, -0.571154;;;;0;;Europe/Paris;0
MAETUDIA;25548;POLYTECH ANGERS;47.480575, -0.5945920000000001;;;;0;;Europe/Paris;1
CHOUTEAU;22022;CHOUTEAU;47.446256, -0.4968560000000001;;;;0;;Europe/Paris;1
PRIEURE;18873;PRIEURE;47.471893, -0.6336460000000002;;;;0;;Europe/Paris;1
5ROUT-EXT;;CINQ ROUTES;47.484484, -0.6436610000000001;;;;0;;Europe/Paris;0
CHEVRI-E;7832;CHEVRIERE;47.423899, -0.6092430000000001;;;;0;;Europe/Paris;0
SCHWALBA;31127;SCHWALBACH;47.503777, -0.6023200000000001;;;;0;;Europe/Paris;1
CLINIQUE;26512;CLINIQUE SAINT DIDIER;47.485155, -0.5870770000000001;;;;0;;Europe/Paris;1
DESERRE;25513;DE SERRE;47.477786, -0.6153300000000002;;;;0;;Europe/Paris;0
GARPAPIN;26880;ANGERS GARES;47.464686, -0.5580110000000001;;;;0;;Europe/Paris;0
HTCHAP-E;72625;HAUTES CHAPELLES;47.475794, -0.380889;;;;0;;Europe/Paris;0
WHSA-E;74471;HAUTS DE SAINT AUBIN;47.492331, -0.5605910000000001;;;;0;;Europe/Paris;0
GAUBERT;18121;GAUBERT;47.475087, -0.5997540000000001;;;;0;;Europe/Paris;0
BRISPOTI;968494;BRISEPOTIÈRE;47.478445, -0.5283230000000001;;;;0;;Europe/Paris;1
DESMAZ-E;15428;DESMAZIERES;47.462647, -0.5350020000000001;;;;0;;Europe/Paris;1
CHALOU-E;16972;CHALOUERE;47.481943, -0.5360310000000001;;;;0;;Europe/Paris;1
MICHEL-E;5053;MICHELET;47.462862, -0.5442430000000001;;;;0;;Europe/Paris;1
DELATTRE;10046;DE LATTRE;47.452609, -0.5416480000000001;;;;0;;Europe/Paris;1
GUILLE-E;30927;GUILLEBOTTE;47.437282, -0.5132900000000001;;;;0;;Europe/Paris;1
FENEU-ZA;888767;ZA FENEU ARRIVEE;47.579174, -0.5913910000000001;;;;0;;Europe/Paris;0
LE.CLOS;905100;LE CLOS;47.424661, -0.428128;;;;0;;Europe/Paris;0
NOYANT-E;832846;NOYANT;47.563318, -0.5457950000000001;;;;0;;Europe/Paris;0
BOREAU;22327;BOREAU;47.475261, -0.5461940000000001;;;;0;;Europe/Paris;1
BOISHOPI;778313;BOIS DE L'HOPITAL;47.470542, -0.4592780000000001;;;;0;;Europe/Paris;0
ANAFRA-E;882585;ANATOLE FRANCE;47.531319, -0.6137410000000001;;;;0;;Europe/Paris;1
BRAI8M-E;562043;PLACE DU 8 MAI;47.445926, -0.412117;;;;0;;Europe/Paris;0
VARENN-E;10527;VARENNES;47.565919, -0.5044800000000002;;;;0;;Europe/Paris;0
MONCEA-E;810372;MONCEAU;47.472331, -0.389562;;;;0;;Europe/Paris;0
CARNOT;9569;CENTRE DE CONGRÈS;47.474286, -0.5465560000000002;;;;0;;Europe/Paris;1
HAUBOUCH;4077;HAUTS DE BOUCHEMAINE;47.430487, -0.609516;;;;0;;Europe/Paris;1
VILLECHI;12145;VILLECHIEN;47.46263, -0.5197420000000001;;;;0;;Europe/Paris;1
CIMEPONT;25421;CIMETIERE DES PONTS DE CE;47.434273, -0.5296020000000001;;;;0;;Europe/Paris;1
CAMPBOUC;11882;CAMPING DE BOUCHEMAINE;47.419392, -0.6113680000000001;;;;0;;Europe/Paris;1
WBASC;28556;BASCULE;47.508756, -0.5917740000000001;;;;0;;Europe/Paris;0
ZARTISAN;20846;ZA FENEU DEPART;47.579282, -0.5913730000000001;;;;0;;Europe/Paris;0
STLAUD-E;721584;COLLEGE SAINT LAUD;47.418563, -0.5228320000000001;;;;0;;Europe/Paris;0
VERNUS-E;460891;VERNUSSON FLORILOIRE;47.430456, -0.5422120000000001;;;;0;;Europe/Paris;1
RTEMEIGN;18306;ROUTE DE LA MEIGNANNE;47.477719, -0.6394820000000001;;;;0;;Europe/Paris;1
BASMORTI;7483;BAS MORTIER;47.515371, -0.4746250000000001;;;;0;;Europe/Paris;1
EGLTRE-E;1318;EGLISE DE TRELAZE;47.445443, -0.4646120000000001;;;;0;;Europe/Paris;1
JAUDET-E;22741;JAUDETTE;47.463796, -0.4903880000000001;;;;0;;Europe/Paris;1
SAICROIX;18938;SAINTE CROIX;47.469957, -0.5543210000000001;;;;0;;Europe/Paris;1
2ACAS;12080;ACACIAS;47.503703, -0.5862700000000001;;;;0;;Europe/Paris;1
AULNERIE;937759;AULNERIE;47.587453, -0.4928890000000001;;;;0;;Europe/Paris;0
BEDAUDIE;26883;BEDAUDIERE;47.501333, -0.394999;;;;0;;Europe/Paris;0
GAREBO-E;14886;GARE DE BOUCHEMAINE;47.416676, -0.6148580000000001;;;;0;;Europe/Paris;1
PTGRCHAM;12601;PETITS GRANDCHAMPS;47.463898, -0.7143900000000001;;;;0;;Europe/Paris;0
MAURIA-E;24260;MALRAUX;47.457624, -0.4733360000000001;;;;0;;Europe/Paris;1
FRANCA-E;27417;FRANCAISERIE;47.521484, -0.4662270000000001;;;;0;;Europe/Paris;1
LE-PRE-E;150327;LE PRÉ;47.515249, -0.5851120000000001;;;;0;;Europe/Paris;1
DARWIN;13304;DARWIN;47.473837, -0.6041980000000001;;;;0;;Europe/Paris;0
VAILLA-E;15274;VAILLANTE;47.485316, -0.533364;;;;0;;Europe/Paris;1
FUNAULT;368680;FUNAULT;47.534595, -0.4567710000000001;;;;0;;Europe/Paris;0
CHAUMIER;12643;CHAUMIÈRES;47.524116, -0.523314;;;;0;;Europe/Paris;0
VIGNES-E;19033;LES VIGNES;47.408537, -0.6263310000000001;;;;0;;Europe/Paris;1
LAPLESSE;22986;LA PLESSE;47.499411, -0.6203680000000001;;;;0;;Europe/Paris;0
MELGRANI;9954;MELGRANI;47.477759, -0.5916800000000001;;;;0;;Europe/Paris;0
UNION-E;2651;UNION;47.519615, -0.4751790000000001;;;;0;;Europe/Paris;1
1STSE;901361;SAINT SERGE UNIVERSITE;47.476135, -0.5506700000000001;;;;0;;Europe/Paris;1
TEMPLE-E;986897;TEMPLE;47.489583, -0.4283370000000001;;;;0;;Europe/Paris;0
CORNCR-E;434360;CROIX VERTE;47.474017, -0.354858;;;;0;;Europe/Paris;0
LANGEV-E;24587;LANGEVINE;47.478757, -0.6919130000000001;;;;0;;Europe/Paris;0
NDAMLA-E;24523;NOTRE DAME DU LAC;47.479713, -0.5897670000000002;;;;0;;Europe/Paris;1
SOULAINE;1828;TERTRE SOULAINES;47.362895, -0.522665;;;;0;;Europe/Paris;0
ROMORNA;32360;SAINTE GEMMES - ROCHE MORNA;47.420324, -0.5814000000000001;;;;0;;Europe/Paris;1
FRCEVERT;14982;CEVERT;47.446348, -0.5441870000000001;;;;0;;Europe/Paris;1
INTREPID;14842;INTREPIDE;47.447226, -0.5521100000000001;;;;0;;Europe/Paris;0
MONNIER;1582;MONNIER;47.403184, -0.5250100000000001;;;;0;;Europe/Paris;1
VEILLERO;203459;VEILLEROT;47.523611, -0.4731100000000001;;;;0;;Europe/Paris;0
PELMAI-E;29474;MAIRIE DE PELLOUAILLES;47.521729, -0.439407;;;;0;;Europe/Paris;0
PLDULY-E;29899;PLACE DU LYCEE;47.466909, -0.5445980000000001;;;;0;;Europe/Paris;1
HTESBR-E;504742;HAUTES BRUYÈRES;47.591231, -0.4521410000000001;;;;0;;Europe/Paris;0
GADIFA-E;226554;GADIFAIX;47.576028, -0.44943;;;;0;;Europe/Paris;0
DEZIE-AR;838436;AVRILLE ADEZIERE;47.50493, -0.6050480000000001;;;;0;;Europe/Paris;1
GRES11-E;15716;GRESILLE;47.459628, -0.6057380000000001;;;;0;;Europe/Paris;1
MAETUD-E;25699;POLYTECH ANGERS;47.480635, -0.594586;;;;0;;Europe/Paris;1
LECUIT-E;28784;LECUIT;47.489452, -0.5627630000000001;;;;0;;Europe/Paris;1
SAJACQUE;17939;SAINT JACQUES;47.473521, -0.5712780000000001;;;;0;;Europe/Paris;1
DESMAZ;15401;DESMAZIERES;47.462542, -0.534526;;;;0;;Europe/Paris;1
RIMOUX;716161;RIMOUX;47.475803, -0.3562060000000001;;;;0;;Europe/Paris;0
1LGAR;20910;LES GARES;47.464465, -0.5554650000000001;;;;0;;Europe/Paris;1
BAUDRA-E;11299;BAUDRAIRIE;47.437694, -0.5067180000000001;;;;0;;Europe/Paris;1
REDUM-E;794465;RENE DUMONT;47.493915, -0.506179;;;;0;;Europe/Paris;1
2STGI;31945;SAINT GILLES;47.506242, -0.5889750000000001;;;;0;;Europe/Paris;1
DAGUCHEN;564365;DAGUENIERE LE CHENE;47.420293, -0.446046;;;;0;;Europe/Paris;0
BACHOUAS;294727;BACHOUASNE;47.467853, -0.433422;;;;0;;Europe/Paris;0
ROCHMA-E;370620;ROCHE MAROTTE;47.447371, -0.5192860000000001;;;;0;;Europe/Paris;0
COINTR-E;6267;COINTREAU;47.476442, -0.5073120000000001;;;;0;;Europe/Paris;1
CAPU8-C;32069;CAPUCINS;47.487437, -0.5548530000000002;;;;0;;Europe/Paris;1
2STRA;16728;STRASBOURG;47.457518, -0.5540590000000001;;;;0;;Europe/Paris;1
CHATAI;372480;CHATAIGNIER;47.545682, -0.6499830000000001;;;;0;;Europe/Paris;0
SEURAT-E;30002;CENTRE COMMERCIAL MOLLIERE;47.460777, -0.617481;;;;0;;Europe/Paris;1
JEAN-MON;880633;MONNET;47.465634, -0.6014520000000001;;;;0;;Europe/Paris;1
BELPOU-E;21861;BELLE POULE;47.428427, -0.527754;;;;0;;Europe/Paris;0
VALDE-AR;788530;VAL DE MAINE;47.443074, -0.6124280000000001;;;;0;;Europe/Paris;1
CARCIT-E;8361;CARREFOUR ST SERGE;47.487632, -0.5431430000000002;;;;0;;Europe/Paris;1
EPIRE-E;7152;EPIRE;47.398263, -0.634565;;;;0;;Europe/Paris;0
COLOM-E;64617;COLOMBIER;47.482555, -0.4903830000000001;;;;0;;Europe/Paris;1
FOUQUE-E;28861;FOUQUETTERIE;47.468274, -0.7052490000000001;;;;0;;Europe/Paris;0
MACE;23738;MACE;47.476645, -0.5327370000000001;;;;0;;Europe/Paris;1
BAUNCENT;353041;BAUNE CENTRE;47.499427, -0.318602;;;;0;;Europe/Paris;0
MASGEMME;3967;MAIRIE DE SAINTE GEMMES;47.422772, -0.5565450000000001;;;;0;;Europe/Paris;1
JDELAVAL;276704;JEANNE DE LAVAL;47.465674, -0.383837;;;;0;;Europe/Paris;0
LABARR32;26356;LA BARRE VILLEVEQUE;47.552249, -0.429346;;;;0;;Europe/Paris;0
TRELA AR;29269;TRELAZE QUANTINIERE;47.459854, -0.4755520000000001;;;;0;;Europe/Paris;1
BARON-AR;302718;SAINT AUBIN LA SALLE;47.489696, -0.5035960000000002;;;;0;;Europe/Paris;1
SOUCEL-E;19812;SOUCELLES;47.570167, -0.4203;;;;0;;Europe/Paris;0
DEBU31-E;9638;COLLEGE DEBUSSY;47.488492, -0.51592;;;;0;;Europe/Paris;0
LAPOIN-E;17596;LA POINTE;47.409872, -0.6203100000000001;;;;0;;Europe/Paris;1
LEFEVR-E;16289;LEFEVRE;47.443181, -0.4891660000000001;;;;0;;Europe/Paris;1
CHMARTYR;1237;CHAMP DES MARTYRS;47.489855, -0.5830860000000001;;;;0;;Europe/Paris;1
GAREPAPI;16316;GARES PAPIN;47.464917, -0.5577610000000001;;;;0;;Europe/Paris;0
GENIE-E;570531;GENIE;47.458164, -0.5638620000000001;;;;0;;Europe/Paris;1
CHATELAI;23220;CHATELAIN;47.482844, -0.514735;;;;0;;Europe/Paris;0
TASSIG-E;10656;POLE TASSIGNY;47.446522, -0.5372100000000001;;;;0;;Europe/Paris;1
PAQUERET;38080;PAQUERETTE;47.48584, -0.6494780000000001;;;;0;;Europe/Paris;0
SAVGARE;79863;SAVENNIÈRES GARE;47.381351, -0.65519;;;;0;;Europe/Paris;0
BAUNBR-E;58353;CHÂTEAU BRIANÇON;47.503388, -0.351694;;;;0;;Europe/Paris;0
SCHWTZ-E;8671;MIMOSAS;47.481552, -0.5231920000000001;;;;0;;Europe/Paris;1
GALILEE provisoire vers Ext.;;GALILEE reporté;47.456396, -0.6675970000000001;;;;0;;Europe/Paris;0
FRANVI-E;13502;VILLON;47.433643, -0.5228550000000001;;;;0;;Europe/Paris;1
RANGEARD;11014;RANGEARDIERE;47.410112, -0.6229050000000002;;;;0;;Europe/Paris;1
GERICAUL;9434;GERICAULT;47.460105, -0.5246040000000001;;;;0;;Europe/Paris;1
DAGUCH-E;539974;DAGUENIÈRE LE CHÊNE;47.420101, -0.445472;;;;0;;Europe/Paris;0
FRESNE;32041;LE FRESNE;47.442418, -0.5836500000000001;;;;0;;Europe/Paris;0
BAHONNEA;26142;BAHONNEAU;47.453189, -0.4832390000000001;;;;0;;Europe/Paris;0
PROUDHON;29327;PROUDHON;47.461204, -0.603844;;;;0;;Europe/Paris;1
VAILLANT;14457;VAILLANTE;47.485283, -0.533557;;;;0;;Europe/Paris;1
JAUDETTE;22121;JAUDETTE;47.463652, -0.4902180000000001;;;;0;;Europe/Paris;1
BRARDIER;974048;BRARDIERE;47.582185, -0.4941210000000001;;;;0;;Europe/Paris;0
HRECUL-E;1885;HAUTE DE RECULEE;47.485014, -0.5529120000000001;;;;0;;Europe/Paris;0
LAGRAN-E;11339;LA GRANGE;47.504497, -0.6368040000000001;;;;0;;Europe/Paris;0
VAUGA6-E;8024;VAUGAREAU;47.483375, -0.5283620000000001;;;;0;;Europe/Paris;1
REPTRELA;9180;REPUBLIQUE TRELAZE;47.450145, -0.504357;;;;0;;Europe/Paris;1
DURELLE2;489663;DURELLERIES 2;47.4311, -0.6417380000000001;;;;0;;Europe/Paris;0
INRA;13650;INRA;47.474703, -0.611122;;;;0;;Europe/Paris;1
PROUDH-E;30177;PROUDHON;47.461657, -0.6034110000000001;;;;0;;Europe/Paris;1
ATOLL-AR;540059;BEAUCOUZE L'ATOLL;47.484128, -0.6264320000000001;;;;0;;Europe/Paris;1
BOUCHEM;9302;BOUCHEMAINE CENTRE;47.421757, -0.6104290000000001;;;;0;;Europe/Paris;1
BODINI-E;298774;BODINIERE;47.585439, -0.447124;;;;0;;Europe/Paris;0
1JVIL;20509;JEAN VILAR;47.445072, -0.5623260000000001;;;;0;;Europe/Paris;1
AUVERGNE;2306;AUVERGNE;47.489505, -0.5308240000000001;;;;0;;Europe/Paris;1
BRAIBO-E;348073;CROIX DE BOIS;47.44914, -0.425265;;;;0;;Europe/Paris;0
EBEAUP-E;9811;EBEAUPIN;47.464415, -0.6248100000000001;;;;0;;Europe/Paris;0
LESROS-E;25672;LES ROSES;47.426867, -0.5516270000000001;;;;0;;Europe/Paris;0
2VERN;13983;VERNEAU;47.492517, -0.567162;;;;0;;Europe/Paris;1
BROCHONS;294849;BROCHONS;47.421952, -0.327366;;;;0;;Europe/Paris;0
GALLIE-E;12457;PLACE DE L'EUROPE;47.486208, -0.528974;;;;0;;Europe/Paris;0
MALAQUAI;38447;MALAQUAIS;47.444369, -0.4903700000000001;;;;0;;Europe/Paris;0
FOCH .-E;11393;FOCH MAISON BLEUE;47.469101, -0.5497730000000001;;;;0;;Europe/Paris;1
CSARTH-E;2380;CROIX DE SARTHE;47.540117, -0.5699230000000001;;;;0;;Europe/Paris;0
BELFON-E;32395;MAISON DES ARTS;47.471701, -0.5374420000000001;;;;0;;Europe/Paris;1
2HOPA;13445;CHU - HOPITAL;47.481321, -0.5540550000000001;;;;0;;Europe/Paris;1
LORRAIN1;20636;LORRAINE;47.47022, -0.547761;;;;0;;Europe/Paris;1
BICHON.;7036;BICHON;47.479318, -0.564776;;;;0;;Europe/Paris;1
PREVERT;646592;PREVERT;47.487774, -0.5975300000000001;;;;0;;Europe/Paris;0
CLIANJ-E;11590;PABLO NERUDA;47.445325, -0.5411330000000001;;;;0;;Europe/Paris;0
CARMET;9979;JEAN CARMET;47.400262, -0.543626;;;;0;;Europe/Paris;1
FIEGEN-E;24053;FIEF GENTIL;47.533279, -0.5260500000000001;;;;0;;Europe/Paris;0
BOURG;25980;BOURG;47.590709, -0.5553650000000001;;;;0;;Europe/Paris;0
BRIOLLAY;14848;MAIRIE DE BRIOLLAY;47.56371, -0.5076800000000001;;;;0;;Europe/Paris;0
PRUNIE-E;27721;PRUNIERS;47.449315, -0.6025290000000001;;;;0;;Europe/Paris;1
TERNEI-E;3391;TERNIERE;47.505693, -0.5932560000000001;;;;0;;Europe/Paris;1
BONNERIE;790406;BONNERIE;47.522882, -0.446449;;;;0;;Europe/Paris;0
LHOIRI-E;7844;LAC DE MAINE - L'HOIRIE;47.467031, -0.618365;;;;0;;Europe/Paris;0
ARCAD-E;17259;ARCADES;47.507205, -0.5165910000000001;;;;0;;Europe/Paris;0
BOSCH-E;63542;BOIS RINIER;47.476432, -0.4973980000000001;;;;0;;Europe/Paris;1
BOISABBE;1559;BOIS L'ABBE;47.490304, -0.5142250000000002;;;;0;;Europe/Paris;0
MASTEL-E;17386;MASTELLE;47.529387, -0.5919880000000001;;;;0;;Europe/Paris;1
ALLUMETT;15447;ALLUMETTES;47.44527, -0.5023200000000001;;;;0;;Europe/Paris;1
